Entity,Year,Building (CAIT),Int'l aviation & shipping (CAIT),Electricity & Heat (CAIT),Energy (CAIT),Fugitive Emissions (CAIT),Industry (CAIT),Land-Use Change and Forestry (CAIT),Manufacturing & Construction (CAIT),Other Fuel Combustion (CAIT),Total excluding LUCF (CAIT),Total including LUCF (CAIT),Transport (CAIT),Buildings (per capita) (CAIT),Electricity & Heat (per capita) (CAIT),Fugitive Emissions (per capita) (CAIT),Industry (per capita) (CAIT),International aviation & shipping (per capita) (CAIT),Land-Use Change and Forestry (per capita) (CAIT),Manufacturing & Construction (per capita) (CAIT),Total excluding LUCF (per capita) (CAIT),Total including LUCF (per capita) (CAIT),Transport (per capita) (CAIT)
Afghanistan,1990,,,,2.86,0.33,0.04,0.0,,,2.91,2.91,,,,0.026587173702868193,0.003222687721559781,,0.0,,0.23445053174347408,0.23445053174347408,
Afghanistan,1991,,,,2.63,0.27,0.04,0.0,,,2.67,2.67,,,,0.020302278366794498,0.003007744943228814,,0.0,,0.20076697496052334,0.20076697496052334,
Afghanistan,1992,,,,1.33,0.02,0.05,0.0,,,1.38,1.38,,,,0.0013806433798149939,0.0034516084495374846,,0.0,,0.09526439320723457,0.09526439320723457,
Afghanistan,1993,,,,1.26,0.0,0.05,0.0,,,1.31,1.31,,,,0.0,0.003161155718530695,,0.0,,0.0828222798255042,0.0828222798255042,
Afghanistan,1994,,,,1.21,0.0,0.05,0.0,,,1.26,1.26,,,,0.0,0.002928086202857812,,0.0,,0.07378777231201686,0.07378777231201686,
Afghanistan,1995,,,,1.16,0.0,0.05,0.0,,,1.21,1.21,,,,0.0,0.0027607531334548066,,0.0,,0.06681022582960632,0.06681022582960632,
Afghanistan,1996,,,,1.1,0.0,0.05,0.0,,,1.14,1.14,,,,0.0,0.0026520978093672095,,0.0,,0.060467830053572376,0.060467830053572376,
Afghanistan,1997,,,,1.01,0.0,0.05,0.0,,,1.06,1.06,,,,0.0,0.0025830448933202464,,0.0,,0.054760551738389215,0.054760551738389215,
Afghanistan,1998,,,,0.96,0.0,0.05,0.0,,,1.0,1.0,,,,0.0,0.00253318471982977,,0.0,,0.050663694396595405,0.050663694396595405,
Afghanistan,1999,,,,0.74,0.0,0.05,0.0,,,0.79,0.79,,,,0.0,0.002478806206930742,,0.0,,0.03916513806950573,0.03916513806950573,
Afghanistan,2000,,,,0.73,0.0,0.02,0.0,,,0.75,0.75,,,,0.0,0.0009624639076034649,,0.0,,0.03609239653512993,0.03609239653512993,
Afghanistan,2001,,,,0.77,0.0,0.02,0.0,,,0.79,0.79,,,,0.0,0.0009256259545517657,,0.0,,0.03656222520479474,0.03656222520479474,
Afghanistan,2002,,,,1.04,0.0,0.02,0.0,,,1.06,1.06,,,,0.0,0.0008849165966107695,,0.0,,0.04690057962037078,0.04690057962037078,
Afghanistan,2003,,,,1.16,0.0,0.03,0.0,,,1.19,1.19,,,,0.0,0.0012668383936489168,,0.0,,0.05025125628140703,0.05025125628140703,
Afghanistan,2004,,,,0.91,0.0,0.03,0.0,,,0.94,0.94,,,,0.0,0.0012132486755368624,,0.0,,0.03801512516682169,0.03801512516682169,
Afghanistan,2005,,,,1.3,0.0,0.02,0.0,,,1.32,1.32,,,,0.0,0.0007796055196070788,,0.0,,0.0514539642940672,0.0514539642940672,
Afghanistan,2006,,,,1.63,0.0,0.02,0.0,,,1.65,1.65,,,,0.0,0.0007566299701131162,,0.0,,0.06242197253433208,0.06242197253433208,
