Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Afghanistan,1920,,,55
Afghanistan,1921,,,55
Afghanistan,1922,,,55
Afghanistan,1923,,,65
Afghanistan,1924,,,65
Afghanistan,1925,,,76
Afghanistan,1926,,,76
Afghanistan,1927,,,76
Afghanistan,1928,,,60
Afghanistan,1929,,,60
Afghanistan,1930,,,60
Afghanistan,1931,,,60
Afghanistan,1932,,,60
Afghanistan,1933,,,72
Afghanistan,1934,,,45
Afghanistan,1935,,,72
Afghanistan,1936,,,103
Afghanistan,1937,,,103
Afghanistan,1938,,,103
Afghanistan,1939,,,103
Afghanistan,1940,,,60
Afghanistan,1941,,,90
Afghanistan,1942,,,90
Afghanistan,1943,,,90
Afghanistan,1944,,,90
Afghanistan,1945,,,90
Afghanistan,1946,,,90
Afghanistan,1947,,,100
Afghanistan,1948,,,90
Afghanistan,1949,,,75
Afghanistan,1950,,,75
Afghanistan,1951,,,60
Afghanistan,1952,,,60
Afghanistan,1953,,,41
Afghanistan,1954,,,41
Afghanistan,1955,,,43
Afghanistan,1956,,,43
Afghanistan,1957,,,43
Afghanistan,1958,,,43
Afghanistan,1959,,,50
Afghanistan,1960,,,60
Afghanistan,1961,,,110
Afghanistan,1962,,,104
Afghanistan,1963,,,110
Afghanistan,1964,,,112
Afghanistan,1965,,,97
Afghanistan,1966,,,97
Afghanistan,1967,,,95
Afghanistan,1968,,,89
Afghanistan,1969,,,89
Afghanistan,1970,,,91
Afghanistan,1971,,,91
Afghanistan,1972,,,91
Afghanistan,1973,,,91
Afghanistan,1974,,,80
Afghanistan,1975,,,130
Afghanistan,1976,,,142
Afghanistan,1977,,,143
Afghanistan,1978,,,110
Afghanistan,1979,,,89
Afghanistan,1980,,,43
Afghanistan,1981,,,45
Afghanistan,1982,,,55
Afghanistan,1983,,,46
Afghanistan,1984,,,46
Afghanistan,1985,,,47
Afghanistan,1986,,,47
Afghanistan,1987,,,50
Afghanistan,1988,,,55
Afghanistan,1989,,,55
Afghanistan,1990,,,58
Afghanistan,1991,,,45
Afghanistan,1992,,,45
Afghanistan,1993,,,45
Afghanistan,1994,,,45
Afghanistan,1995,,,
Afghanistan,1996,,,
Afghanistan,1997,,,
Afghanistan,1998,,,
Afghanistan,1999,,,400
Afghanistan,2000,,,400
Afghanistan,2001,,,
Afghanistan,2002,,,50
Afghanistan,2003,,,60
Afghanistan,2004,,,43
Afghanistan,2005,,,27
Afghanistan,2006,,,27
Afghanistan,2007,,,50
Albania,1914,,,2
Albania,1915,,,2
Albania,1916,,,2
Albania,1917,,,2
Albania,1918,,,3
Albania,1919,,,3
Albania,1920,,,4
Albania,1921,,,3
Albania,1922,,,5
Albania,1923,,,8
Albania,1924,,,8
Albania,1925,,,8
Albania,1926,,,8
Albania,1927,,,8
Albania,1928,,,10
Albania,1929,,,11
Albania,1930,,,11
Albania,1931,,,11
Albania,1932,,,13
Albania,1933,,,13
Albania,1934,,,13
Albania,1935,,,9
Albania,1936,,,9
Albania,1937,,,9
Albania,1938,,,9
Albania,1939,,,9
Albania,1944,,,60
Albania,1945,,,60
Albania,1946,,,60
Albania,1947,,,60
Albania,1948,,,60
Albania,1949,,,65
Albania,1950,,,60
Albania,1951,,,55
Albania,1952,,,61
Albania,1953,,,53
Albania,1954,,,41
Albania,1955,,,39
Albania,1956,,,37
Albania,1957,,,33
Albania,1958,,,31
Albania,1959,,,27
Albania,1960,,,27
Albania,1961,,,50
Albania,1962,,,50
Albania,1963,,,52
Albania,1964,,,52
Albania,1965,,,52
Albania,1966,,,52
Albania,1967,,,52
Albania,1968,,,52
Albania,1969,,,52
Albania,1970,,,52
Albania,1971,,,52
Albania,1972,,,52
Albania,1973,,,52
Albania,1974,,,53
Albania,1975,,,52
Albania,1976,,,52
Albania,1977,,,45
Albania,1978,,,45
Albania,1979,,,45
