Entity,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air
Afghanistan,1990,16200
Afghanistan,1995,21300
Afghanistan,2000,24900
Afghanistan,2005,26500
Afghanistan,2010,27600
Afghanistan,2015,29500
Albania,1990,1200
Albania,1995,1100
Albania,2000,1000
Albania,2005,1000
Albania,2010,1200
Albania,2015,1500
Algeria,1990,6800
Algeria,1995,7000
Algeria,2000,7600
Algeria,2005,8000
Algeria,2010,8800
Algeria,2015,12000
Angola,1990,8600
Angola,1995,8900
Angola,2000,9700
Angola,2005,9000
Angola,2010,9200
Angola,2015,10200
Argentina,1990,13500
Argentina,1995,13800
Argentina,2000,15000
Argentina,2005,15400
Argentina,2010,16200
Argentina,2015,16600
Armenia,1990,1900
Armenia,1995,2000
Armenia,2000,2000
Armenia,2005,2200
Armenia,2010,2300
Armenia,2015,2300
Australia,1990,4100
Australia,1995,4000
Australia,2000,3800
Australia,2005,3500
Australia,2010,3000
Australia,2015,3400
Austria,1990,4900
Austria,1995,4500
Austria,2000,4200
Austria,2005,3700
Austria,2010,3500
Austria,2015,4000
Azerbaijan,1990,5600
Azerbaijan,1995,5500
Azerbaijan,2000,5300
Azerbaijan,2005,5100
Azerbaijan,2010,5900
Azerbaijan,2015,6100
Bahamas,1990,100
Bahamas,1995,100
Bahamas,2000,100
Bahamas,2005,100
Bahamas,2010,100
Bahamas,2015,100
Bahrain,1990,200
Bahrain,1995,200
Bahrain,2000,200
Bahrain,2005,200
Bahrain,2010,200
Bahrain,2015,200
Bangladesh,1990,81200
Bangladesh,1995,80300
Bangladesh,2000,85700
Bangladesh,2005,101000
Bangladesh,2010,110300
Bangladesh,2015,122400
Barbados,1990,100
Barbados,1995,100
Barbados,2000,100
Barbados,2005,100
Barbados,2010,100
Barbados,2015,100
Belarus,1990,11700
Belarus,1995,12400
Belarus,2000,12200
Belarus,2005,11800
Belarus,2010,11500
Belarus,2015,12200
Belgium,1990,6800
Belgium,1995,6300
Belgium,2000,6000
Belgium,2005,5500
Belgium,2010,5300
Belgium,2015,5600
Belize,1990,100
Belize,1995,100
Belize,2000,100
Belize,2005,100
Belize,2010,100
Belize,2015,100
Benin,1990,4100
Benin,1995,4500
Benin,2000,4700
Benin,2005,4100
Benin,2010,4300
Benin,2015,4300
Bhutan,1990,300
Bhutan,1995,200
Bhutan,2000,200
Bhutan,2005,300
Bhutan,2010,300
Bhutan,2015,400
Bolivia,1990,3400
Bolivia,1995,3400
Bolivia,2000,3400
Bolivia,2005,3900
Bolivia,2010,3600
Bolivia,2015,4100
Bosnia and Herzegovina,1990,2900
Bosnia and Herzegovina,1995,2800
Bosnia and Herzegovina,2000,2500
Bosnia and Herzegovina,2005,2400
Bosnia and Herzegovina,2010,2500
Bosnia and Herzegovina,2015,2800
Botswana,1990,400
Botswana,1995,500
Botswana,2000,600
Botswana,2005,700
Botswana,2010,600
Botswana,2015,700
Brazil,1990,42200
Brazil,1995,45900
Brazil,2000,49300
Brazil,2005,46900
Brazil,2010,43100
Brazil,2015,52300
Bulgaria,1990,12800
Bulgaria,1995,12200
Bulgaria,2000,10800
Bulgaria,2005,9400
Bulgaria,2010,9300
Bulgaria,2015,9500
Burkina Faso,1990,7700
Burkina Faso,1995,7900
Burkina Faso,2000,8200
Burkina Faso,2005,7400
Burkina Faso,2010,7300
Burkina Faso,2015,6700
Burundi,1990,5000
Burundi,1995,5200
Burundi,2000,4700
Burundi,2005,3900
Burundi,2010,3700
Burundi,2015,4600
