Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7865623.935
WORLD,900,2022,7932536.35
WORLD,900,2023,7995991.19999999
WORLD,900,2024,8056356.309
WORLD,900,2025,8113912.16
WORLD,900,2026,8168847.629
WORLD,900,2027,8221263.549
WORLD,900,2028,8271186.568
WORLD,900,2029,8318588.917
WORLD,900,2030,8363452.531
WORLD,900,2031,8405835.434
WORLD,900,2032,8445931.922
WORLD,900,2033,8484096.028
WORLD,900,2034,8520771.62900001
WORLD,900,2035,8556281.333
WORLD,900,2036,8590768.246
WORLD,900,2037,8624178.311
WORLD,900,2038,8656382.198
WORLD,900,2039,8687153.623
WORLD,900,2040,8716309.55
WORLD,900,2041,8743819.865
WORLD,900,2042,8769695.36599999
WORLD,900,2043,8793831.82300001
WORLD,900,2044,8816109.39600001
WORLD,900,2045,8836426.116
WORLD,900,2046,8854729.367
WORLD,900,2047,8870980.61
WORLD,900,2048,8885115.182
WORLD,900,2049,8897069.562
WORLD,900,2050,8906797.099
WORLD,900,2051,8914275.92299999
WORLD,900,2052,8919503.2
WORLD,900,2053,8922481.953
WORLD,900,2054,8923228.107
WORLD,900,2055,8921766.4
WORLD,900,2056,8918111.066
WORLD,900,2057,8912300.36
WORLD,900,2058,8904420.834
WORLD,900,2059,8894581.88099999
WORLD,900,2060,8882879.799
WORLD,900,2061,8869366.87899999
WORLD,900,2062,8854084.402
WORLD,900,2063,8837105.291
WORLD,900,2064,8818505.962
WORLD,900,2065,8798353.19000001
WORLD,900,2066,8776697.842
WORLD,900,2067,8753578.54799999
WORLD,900,2068,8729031.52
WORLD,900,2069,8703086.31199999
WORLD,900,2070,8675770.145
WORLD,900,2071,8647116.507
WORLD,900,2072,8617152.734
WORLD,900,2073,8585888.227
WORLD,900,2074,8553324.508
WORLD,900,2075,8519467.311
WORLD,900,2076,8484339.903
WORLD,900,2077,8447965.417
WORLD,900,2078,8410348.278
WORLD,900,2079,8371489.33999999
WORLD,900,2080,8331396.788
WORLD,900,2081,8290088.158
WORLD,900,2082,8247595.088
WORLD,900,2083,8203957.95800001
WORLD,900,2084,8159225.283
WORLD,900,2085,8113441.407
WORLD,900,2086,8066637.826
WORLD,900,2087,8018841.518
WORLD,900,2088,7970086.74100001
WORLD,900,2089,7920408.477
WORLD,900,2090,7869840.228
WORLD,900,2091,7818414.82700001
WORLD,900,2092,7766163.658
WORLD,900,2093,7713118.271
WORLD,900,2094,7659308.582
WORLD,900,2095,7604765.476
WORLD,900,2096,7549519.239
WORLD,900,2097,7493600.58100001
WORLD,900,2098,7437040.20299999
WORLD,900,2099,7379868.607
WORLD,900,2100,7322116.481
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
UN development groups,1803,2084,...
UN development groups,1803,2085,...
UN development groups,1803,2086,...
UN development groups,1803,2087,...
UN development groups,1803,2088,...
