Country Name,Country Code,Year,Value
Albania,ALB,1996,27
Albania,ALB,2002,31.7
Albania,ALB,2005,30.6
Albania,ALB,2008,30
Albania,ALB,2012,29
Albania,ALB,2014,34.6
Albania,ALB,2015,32.8
Albania,ALB,2016,33.7
Albania,ALB,2017,33.1
Albania,ALB,2018,30.1
Albania,ALB,2019,30.1
Albania,ALB,2020,29.4
Algeria,DZA,1988,37.4
Algeria,DZA,1995,35.3
Algeria,DZA,2011,27.6
Angola,AGO,2000,51.9
Angola,AGO,2008,42.7
Angola,AGO,2018,51.3
Argentina,ARG,1980,40.8
Argentina,ARG,1986,42.8
Argentina,ARG,1987,45.3
Argentina,ARG,1991,46.8
Argentina,ARG,1992,45.5
Argentina,ARG,1993,44.8
Argentina,ARG,1994,45.9
Argentina,ARG,1995,48.9
Argentina,ARG,1996,49.5
Argentina,ARG,1997,49.1
Argentina,ARG,1998,50.7
Argentina,ARG,1999,49.8
Argentina,ARG,2000,51
Argentina,ARG,2001,53.3
Argentina,ARG,2002,53.8
Argentina,ARG,2003,51
Argentina,ARG,2004,48.5
Argentina,ARG,2005,47.8
Argentina,ARG,2006,46.4
Argentina,ARG,2007,46.3
Argentina,ARG,2008,45
Argentina,ARG,2009,43.8
Argentina,ARG,2010,43.7
Argentina,ARG,2011,42.7
Argentina,ARG,2012,41.4
Argentina,ARG,2013,41.1
Argentina,ARG,2014,41.8
Argentina,ARG,2016,42.3
Argentina,ARG,2017,41.4
Argentina,ARG,2018,41.7
Argentina,ARG,2019,43.3
Argentina,ARG,2020,42.7
Argentina,ARG,2021,42.4
Argentina,ARG,2022,40.7
Argentina,ARG,2023,42.4
Armenia,ARM,1996,44.4
Armenia,ARM,1999,36.2
Armenia,ARM,2001,35.4
Armenia,ARM,2002,34.8
Armenia,ARM,2003,33
Armenia,ARM,2004,37.5
Armenia,ARM,2005,36
Armenia,ARM,2006,29.7
Armenia,ARM,2007,31.2
Armenia,ARM,2008,29.2
Armenia,ARM,2009,28
Armenia,ARM,2010,30
Armenia,ARM,2011,29.4
Armenia,ARM,2012,29.6
Armenia,ARM,2013,30.6
Armenia,ARM,2014,31.5
Armenia,ARM,2015,32.4
Armenia,ARM,2016,32.5
Armenia,ARM,2017,33.6
Armenia,ARM,2018,34.4
Armenia,ARM,2019,30
Armenia,ARM,2020,25.1
Armenia,ARM,2021,27.9
Armenia,ARM,2022,27.9
Armenia,ARM,2023,27.2
Australia,AUS,1981,31.3
Australia,AUS,1985,32.5
Australia,AUS,1989,33.2
Australia,AUS,1995,32.6
Australia,AUS,2001,33.5
Australia,AUS,2003,33.5
Australia,AUS,2004,33.1
Australia,AUS,2008,35.4
Australia,AUS,2010,34.7
Australia,AUS,2014,34.4
Australia,AUS,2016,33.7
Australia,AUS,2018,34.3
Austria,AUT,1994,30.8
Austria,AUT,1995,29.9
Austria,AUT,1996,29.3
Austria,AUT,1997,29.1
Austria,AUT,1998,31.3
Austria,AUT,1999,29.7
Austria,AUT,2000,29
Austria,AUT,2003,29.5
Austria,AUT,2004,29.8
Austria,AUT,2005,28.7
Austria,AUT,2006,29.6
Austria,AUT,2007,30.6
Austria,AUT,2008,30.4
Austria,AUT,2009,31.5
Austria,AUT,2010,30.3
Austria,AUT,2011,30.8
Austria,AUT,2012,30.5
Austria,AUT,2013,30.8
Austria,AUT,2014,30.5
Austria,AUT,2015,30.5
Austria,AUT,2016,30.8
Austria,AUT,2017,29.7
Austria,AUT,2018,30.8
Austria,AUT,2019,30.2
Austria,AUT,2020,29.8
Austria,AUT,2021,30.7
Austria,AUT,2022,30.9
Azerbaijan,AZE,1995,34.6
Azerbaijan,AZE,2001,36.5
Azerbaijan,AZE,2002,25.3
Azerbaijan,AZE,2003,26.8
Azerbaijan,AZE,2004,26.6
Azerbaijan,AZE,2005,26.6
Bangladesh,BGD,1983,25.9
Bangladesh,BGD,1985,26.9
Bangladesh,BGD,1988,28.8
Bangladesh,BGD,1991,27.6
Bangladesh,BGD,1995,32.9
Bangladesh,BGD,2000,33.4
Bangladesh,BGD,2005,33.2
Bangladesh,BGD,2010,32.1
Bangladesh,BGD,2016,32.4
Bangladesh,BGD,2022,33.4
Barbados,BRB,2016,34.1
Belarus,BLR,1993,21.6
Belarus,BLR,1995,28.7
Belarus,BLR,1998,32
Belarus,BLR,1999,31.7
Belarus,BLR,2000,31.2
Belarus,BLR,2001,30.6
Belarus,BLR,2002,30.3
Belarus,BLR,2003,28.8
Belarus,BLR,2004,26.5
Belarus,BLR,2005,27.6
Belarus,BLR,2006,28.3
Belarus,BLR,2007,29.6
Belarus,BLR,2008,27.8
Belarus,BLR,2009,27.7
Belarus,BLR,2010,28.6
Belarus,BLR,2011,27.2
