Entity,Year,CO2 from liquid (CDIAC (2017))
Africa,1884,0
Africa,1885,0
Africa,1886,0
Africa,1887,0
Africa,1888,0
Africa,1889,0
Africa,1890,0
Africa,1891,0
Africa,1892,0
Africa,1893,0
Africa,1894,0
Africa,1895,0
Africa,1896,0
Africa,1897,0
Africa,1898,0
Africa,1899,0
Africa,1900,0
Africa,1901,0
Africa,1902,0
Africa,1903,0
Africa,1904,0
Africa,1905,0
Africa,1906,0
Africa,1907,0
Africa,1908,0
Africa,1909,0
Africa,1910,0
Africa,1911,0.01101
Africa,1912,0.08441
Africa,1913,0.04037
Africa,1914,0.30828
Africa,1915,0.09175
Africa,1916,0.1835
Africa,1917,0.42572
Africa,1918,0.86979
Africa,1919,0.69363
Africa,1920,0.45875
Africa,1921,0.56151
Africa,1922,0.53582
Africa,1923,0.47343
Africa,1924,0.50646
Africa,1925,0.56151
Africa,1926,0.53582
Africa,1927,0.57252
Africa,1928,0.82575
Africa,1929,0.84777
Africa,1930,0.88447
Africa,1931,0.89181
Africa,1932,0.83676
Africa,1933,0.73767
Africa,1934,0.68262
Africa,1935,0.55784
Africa,1936,0.56151
Africa,1937,0.53582
Africa,1938,0.70464
Africa,1939,2.06254
Africa,1940,2.86994
Africa,1941,3.76909
Africa,1942,3.64798
Africa,1943,3.9636
Africa,1944,4.17279
Africa,1945,4.15811
Africa,1946,3.94892
Africa,1947,4.1104
Africa,1948,5.82062
Africa,1949,7.0831
Africa,1950,23.93207
Africa,1951,26.16343
Africa,1952,28.67371
Africa,1953,30.36558
Africa,1954,32.7731
Africa,1955,34.36221
Africa,1956,36.05775
Africa,1957,38.69281
Africa,1958,41.63982
Africa,1959,42.05453
Africa,1960,48.7376
Africa,1961,52.35989
Africa,1962,54.63162
Africa,1963,60.69079
Africa,1964,69.6199
Africa,1965,76.25893
Africa,1966,84.16411
Africa,1967,81.2538
Africa,1968,86.17894
Africa,1969,93.99237
Africa,1970,98.66428
Africa,1971,115.59032
Africa,1972,119.68237
Africa,1973,128.64451
Africa,1974,134.56055
Africa,1975,144.21999
Africa,1976,151.31043
Africa,1977,160.2689
Africa,1978,166.15191
Africa,1979,182.08338
Africa,1980,198.86996
Africa,1981,214.49682
Africa,1982,236.7884
Africa,1983,244.46971
Africa,1984,252.05927
Africa,1985,253.02815
Africa,1986,255.63752
Africa,1987,246.05148
Africa,1988,264.04182
Africa,1989,270.2221
Africa,1990,249.75451
Africa,1991,263.0289
Africa,1992,284.03598
Africa,1993,276.55285
Africa,1994,265.39972
Africa,1995,272.05343
Africa,1996,282.15694
Africa,1997,296.89199
Africa,1998,317.87338
Africa,1999,298.71965
Africa,2000,317.11736
Africa,2001,295.21847
Africa,2002,289.0492
Africa,2003,327.22454
Africa,2004,350.0446
Africa,2005,336.36284
Africa,2006,369.80021
Africa,2007,380.54964
Africa,2008,407.94619
Africa,2009,438.75217
Africa,2010,433.11138
Africa,2011,437.36491
Africa,2012,455.50939
Africa,2013,477.47801
Asia,1858,0
Asia,1859,0
Asia,1860,0
Asia,1861,0
Asia,1862,0
Asia,1863,0
Asia,1864,0
Asia,1865,0
Asia,1866,0
Asia,1867,0
Asia,1868,0.0734
Asia,1869,0.1101
Asia,1870,0.09909
Asia,1871,0.22754
Asia,1872,0.15047
Asia,1873,0.29727
Asia,1874,0.20552
Asia,1875,0.35599
Asia,1876,0.34498
Asia,1877,0.43673
