Date,Country,Exchange rate
1971-01-01,Australia,0.8803
1972-01-01,Australia,0.8387
1973-01-01,Australia,0.7047
1974-01-01,Australia,0.695
1975-01-01,Australia,0.7647
1976-01-01,Australia,0.8187
1977-01-01,Australia,0.9024
1978-01-01,Australia,0.874
1979-01-01,Australia,0.8947
1980-01-01,Australia,0.8776
1981-01-01,Australia,0.8699
1982-01-01,Australia,0.9838
1983-01-01,Australia,1.1094
1984-01-01,Australia,1.137
1985-01-01,Australia,1.428
1986-01-01,Australia,1.4905
1987-01-01,Australia,1.4257
1988-01-01,Australia,1.2753
1989-01-01,Australia,1.2628
1990-01-01,Australia,1.2809
1991-01-01,Australia,1.2842
1992-01-01,Australia,1.3602
1993-01-01,Australia,1.4708
1994-01-01,Australia,1.3669
1995-01-01,Australia,1.3501
1996-01-01,Australia,1.2775
1997-01-01,Australia,1.3446
1998-01-01,Australia,1.5896
1999-01-01,Australia,1.5494
2000-01-01,Australia,1.7197
2001-01-01,Australia,1.9346
2002-01-01,Australia,1.8392
2003-01-01,Australia,1.5328
2004-01-01,Australia,1.3578
2005-01-01,Australia,1.3111
2006-01-01,Australia,1.3271
2007-01-01,Australia,1.1918
2008-01-01,Australia,1.1714
2009-01-01,Australia,1.2615
2010-01-01,Australia,1.087
2011-01-01,Australia,0.9679
2012-01-01,Australia,0.9653
2013-01-01,Australia,1.0327
2014-01-01,Australia,1.1069
2015-01-01,Australia,1.3294
2016-01-01,Australia,1.3432
2017-01-01,Australia,1.3036
2018-01-01,Australia,1.3367
2019-01-01,Australia,1.4384
2020-01-01,Australia,1.4495
2021-01-01,Australia,1.3307
2022-01-01,Australia,1.4386
2023-01-01,Australia,1.5051
2024-01-01,Australia,1.5158
2025-01-01,Australia,1.5504
1995-01-01,Brazil,0.9161
1996-01-01,Brazil,1.0051
1997-01-01,Brazil,1.0779
1998-01-01,Brazil,1.1605
1999-01-01,Brazil,1.8207
2000-01-01,Brazil,1.8301
2001-01-01,Brazil,2.3527
2002-01-01,Brazil,2.9213
2003-01-01,Brazil,3.0750
2004-01-01,Brazil,2.9262
2005-01-01,Brazil,2.4352
2006-01-01,Brazil,2.1738
2007-01-01,Brazil,1.9461
2008-01-01,Brazil,1.8326
2009-01-01,Brazil,1.9976
2010-01-01,Brazil,1.7600
2011-01-01,Brazil,1.6723
2012-01-01,Brazil,1.9535
2013-01-01,Brazil,2.1570
2014-01-01,Brazil,2.3512
2015-01-01,Brazil,3.3360
2016-01-01,Brazil,3.4839
2017-01-01,Brazil,3.1910
2018-01-01,Brazil,3.6513
2019-01-01,Brazil,3.9440
2020-01-01,Brazil,5.1587
2021-01-01,Brazil,5.3958
2022-01-01,Brazil,5.1605
2023-01-01,Brazil,4.9946
2024-01-01,Brazil,5.3872
2025-01-01,Brazil,5.5891
1971-01-01,Canada,1.0099
1972-01-01,Canada,0.9907
1973-01-01,Canada,1.0002
1974-01-01,Canada,0.9780
1975-01-01,Canada,1.0175
1976-01-01,Canada,0.9863
1977-01-01,Canada,1.0633
1978-01-01,Canada,1.1405
1979-01-01,Canada,1.1713
1980-01-01,Canada,1.1693
1981-01-01,Canada,1.1990
1982-01-01,Canada,1.2344
1983-01-01,Canada,1.2325
1984-01-01,Canada,1.2952
1985-01-01,Canada,1.3659
1986-01-01,Canada,1.3896
1987-01-01,Canada,1.3259
1988-01-01,Canada,1.2306
1989-01-01,Canada,1.1842
1990-01-01,Canada,1.1668
1991-01-01,Canada,1.1460
1992-01-01,Canada,1.2085
1993-01-01,Canada,1.2902
1994-01-01,Canada,1.3664
1995-01-01,Canada,1.3725
1996-01-01,Canada,1.3638
1997-01-01,Canada,1.3849
1998-01-01,Canada,1.4836
1999-01-01,Canada,1.4858
2000-01-01,Canada,1.4855
2001-01-01,Canada,1.5487
2002-01-01,Canada,1.5704
2003-01-01,Canada,1.4008
2004-01-01,Canada,1.3017
2005-01-01,Canada,1.2115
2006-01-01,Canada,1.1340
2007-01-01,Canada,1.0734
2008-01-01,Canada,1.0660
2009-01-01,Canada,1.1412
2010-01-01,Canada,1.0298
2011-01-01,Canada,0.9887
2012-01-01,Canada,0.9995
2013-01-01,Canada,1.0300
2014-01-01,Canada,1.1043
2015-01-01,Canada,1.2791
2016-01-01,Canada,1.3243
2017-01-01,Canada,1.2984
2018-01-01,Canada,1.2957
2019-01-01,Canada,1.3269
2020-01-01,Canada,1.3422
2021-01-01,Canada,1.2533
2022-01-01,Canada,1.3014
2023-01-01,Canada,1.3494
2024-01-01,Canada,1.3699
2025-01-01,Canada,1.3973
1981-01-01,China,1.7100
1982-01-01,China,1.8979
1983-01-01,China,1.9810
1984-01-01,China,2.3303
1985-01-01,China,2.9434
1986-01-01,China,3.4616
1987-01-01,China,3.7314
1988-01-01,China,3.7314
1989-01-01,China,3.7673
