Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Afghanistan,1990,0.02,0.0016113034873199681,0.08,0.006445213949279873,0.27,0.021752597078819567,2.92,0.23525030914871534,0.33,0.026586507540779472,0.04,0.0032226069746399363,-2.39,-0.1925507667347362,0.57,0.045922149388619084,0.0,0.0,2.96,0.2384729161233553,0.58,0.04672780113227907,1.67,0.13454384119121734
Afghanistan,1991,0.02,0.0015038706623106551,0.07,0.005263547318087294,0.27,0.020302253941193844,2.69,0.20227060408078312,0.27,0.020302253941193844,0.04,0.0030077413246213103,-2.39,-0.1797125441461233,0.53,0.03985257255123236,0.0,0.0,2.74,0.20603028073655977,0.35,0.026317736590436465,1.55,0.11654997632907578
Afghanistan,1992,0.02,0.0013806869373139828,0.03,0.002071030405970974,0.16,0.011045495498511863,1.38,0.09526739867466479,0.02,0.0013806869373139828,0.05,0.0034517173432849564,-2.39,-0.16499208900902093,0.39,0.02692339527762266,0.0,0.0,1.43,0.09871911601794975,-0.96,-0.06627297299107117,0.77,0.05315644708658833
Afghanistan,1993,0.02,0.0012644941855712237,0.03,0.0018967412783568352,0.16,0.01011595348456979,1.31,0.08282436915491515,0.0,0.0,0.05,0.0031612354639280592,-2.39,-0.15110705517576123,0.38,0.024025389525853248,0.0,0.0,1.36,0.0859856046188432,-1.03,-0.06512145055691802,0.74,0.04678628486613527
Afghanistan,1994,0.02,0.0011712531377871562,0.02,0.0011712531377871562,0.16,0.00937002510229725,1.26,0.07378894768059083,0.0,0.0,0.05,0.0029281328444678905,-2.39,-0.13996474996556516,0.36,0.02108255648016881,0.0,0.0,1.3,0.07613145395616515,-1.08,-0.06324766944050643,0.71,0.04157948639144404
Afghanistan,1995,0.02,0.0011043218629998173,0.02,0.0011043218629998173,0.16,0.008834574903998539,1.2,0.06625931177998905,0.0,0.0,0.05,0.002760804657499544,-2.39,-0.1319664626284782,0.34,0.0187734716709969,0.0,0.0,1.25,0.0690201164374886,-1.14,-0.0629463461909896,0.68,0.0375469433419938
Afghanistan,1996,0.02,0.0010608141409070937,0.01,0.0005304070704535469,0.16,0.00848651312725675,1.14,0.060466406031704334,0.0,0.0,0.05,0.002652035352267734,-2.39,-0.12676728983839772,0.32,0.0169730262545135,0.0,0.0,1.18,0.06258803431351852,-1.21,-0.06417925552487917,0.64,0.033946052509027
Afghanistan,1997,0.02,0.001033211231873988,0.01,0.000516605615936994,0.16,0.008265689854991903,1.06,0.05476019528932136,0.0,0.0,0.05,0.00258302807968497,-2.39,-0.12346874220894155,0.3,0.015498168478109817,0.0,0.0,1.1,0.056826617753069346,-1.29,-0.06664212445587223,0.59,0.030479731340282645
Afghanistan,1998,0.02,0.0010132856953951738,0.01,0.0005066428476975869,0.16,0.00810628556316139,1.0,0.05066428476975869,0.0,0.0,0.05,0.0025332142384879345,-2.39,-0.12108764059972328,0.28,0.014185999735532435,0.0,0.0,1.05,0.05319749900824663,-1.34,-0.06789014159147665,0.55,0.027865356623367282
Afghanistan,1999,0.02,0.000991530003673123,0.01,0.0004957650018365615,0.16,0.007932240029384984,0.77,0.038173905141415235,0.0,0.0,0.05,0.0024788250091828073,-2.39,-0.11848783543893819,0.25,0.012394125045914037,0.0,0.0,0.82,0.04065273015059804,-1.57,-0.07783510528834015,0.35,0.01735177506427965
Afghanistan,2000,0.02,0.0009624658992316491,0.0,0.0,0.16,0.007699727193853193,0.75,0.036092471221186834,0.0,0.0,0.02,0.0009624658992316491,-2.39,-0.11501467495818206,0.23,0.011068357841163966,0.0,0.0,0.77,0.03705493712041849,-1.62,-0.07795973783776358,0.36,0.017324386186169684
Afghanistan,2001,0.02,0.0009256262972652556,0.0,0.0,0.18,0.0083306366753873,0.79,0.0365622387419776,0.0,0.0,0.02,0.0009256262972652556,0.12,0.005553757783591533,0.23,0.01064470241855044,0.0,0.0,0.81,0.037487865039242854,0.93,0.043041622822834386,0.38,0.017586899648039857
