Entity,Year,Income classification (World Bank 2017)
Afghanistan,1987,1
Afghanistan,1988,1
Afghanistan,1989,1
Afghanistan,1990,1
Afghanistan,1991,1
Afghanistan,1992,1
Afghanistan,1993,1
Afghanistan,1994,1
Afghanistan,1995,1
Afghanistan,1996,1
Afghanistan,1997,1
Afghanistan,1998,1
Afghanistan,1999,1
Afghanistan,2000,1
Afghanistan,2001,1
Afghanistan,2002,1
Afghanistan,2003,1
Afghanistan,2004,1
Afghanistan,2005,1
Afghanistan,2006,1
Afghanistan,2007,1
Afghanistan,2008,1
Afghanistan,2009,1
Afghanistan,2010,1
Afghanistan,2011,1
Afghanistan,2012,1
Afghanistan,2013,1
Afghanistan,2014,1
Afghanistan,2015,1
Afghanistan,2016,1
Albania,1990,2
Albania,1991,2
Albania,1992,2
Albania,1993,1
Albania,1994,1
Albania,1995,1
Albania,1996,2
Albania,1997,1
Albania,1998,2
Albania,1999,2
Albania,2000,2
Albania,2001,2
Albania,2002,2
Albania,2003,2
Albania,2004,2
Albania,2005,2
Albania,2006,2
Albania,2007,2
Albania,2008,2
Albania,2009,3
Albania,2010,3
Albania,2011,2
Albania,2012,3
Albania,2013,3
Albania,2014,3
Albania,2015,3
Albania,2016,3
Algeria,1987,3
Algeria,1988,3
Algeria,1989,2
Algeria,1990,2
Algeria,1991,2
Algeria,1992,2
Algeria,1993,2
Algeria,1994,2
Algeria,1995,2
Algeria,1996,2
Algeria,1997,2
Algeria,1998,2
Algeria,1999,2
Algeria,2000,2
Algeria,2001,2
Algeria,2002,2
Algeria,2003,2
Algeria,2004,2
Algeria,2005,2
Algeria,2006,2
Algeria,2007,2
Algeria,2008,3
Algeria,2009,3
Algeria,2010,3
Algeria,2011,3
Algeria,2012,3
Algeria,2013,3
Algeria,2014,3
Algeria,2015,3
Algeria,2016,3
American Samoa,1987,4
American Samoa,1988,4
American Samoa,1989,4
American Samoa,1990,3
American Samoa,1991,3
American Samoa,1992,3
American Samoa,1993,3
American Samoa,1994,3
American Samoa,1995,3
American Samoa,1996,3
American Samoa,1997,3
American Samoa,1998,3
American Samoa,1999,3
American Samoa,2000,3
American Samoa,2001,3
American Samoa,2002,3
American Samoa,2003,3
American Samoa,2004,3
American Samoa,2005,3
American Samoa,2006,3
American Samoa,2007,3
American Samoa,2008,3
American Samoa,2009,3
American Samoa,2010,3
American Samoa,2011,3
American Samoa,2012,3
American Samoa,2013,3
American Samoa,2014,3
American Samoa,2015,3
American Samoa,2016,3
Andorra,1990,4
Andorra,1991,4
Andorra,1992,4
Andorra,1993,4
Andorra,1994,4
Andorra,1995,4
Andorra,1996,4
Andorra,1997,4
Andorra,1998,4
Andorra,1999,4
Andorra,2000,4
Andorra,2001,4
Andorra,2002,4
Andorra,2003,4
Andorra,2004,4
Andorra,2005,4
Andorra,2006,4
Andorra,2007,4
Andorra,2008,4
Andorra,2009,4
Andorra,2010,4
Andorra,2011,4
Andorra,2012,4
Andorra,2013,4
Andorra,2014,4
Andorra,2015,4
Andorra,2016,4
Angola,1988,2
Angola,1989,2
Angola,1990,2
Angola,1991,2
Angola,1992,2
Angola,1993,2
