Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7874965.73199999
WORLD,900,2022,7953952.577
WORLD,900,2023,8031800.338
WORLD,900,2024,8108605.255
WORLD,900,2025,8184437.453
WORLD,900,2026,8259276.65099999
WORLD,900,2027,8333078.318
WORLD,900,2028,8405863.301
WORLD,900,2029,8477660.72300001
WORLD,900,2030,8548487.371
WORLD,900,2031,8618349.45399999
WORLD,900,2032,8687227.873
WORLD,900,2033,8755083.512
WORLD,900,2034,8821862.705
WORLD,900,2035,8887524.229
WORLD,900,2036,8952048.88500001
WORLD,900,2037,9015437.616
WORLD,900,2038,9077693.64500001
WORLD,900,2039,9138828.56200001
WORLD,900,2040,9198847.382
WORLD,900,2041,9257745.483
WORLD,900,2042,9315508.153
WORLD,900,2043,9372118.24700001
WORLD,900,2044,9427555.382
WORLD,900,2045,9481803.272
WORLD,900,2046,9534854.673
WORLD,900,2047,9586707.749
WORLD,900,2048,9637357.32
WORLD,900,2049,9686800.146
WORLD,900,2050,9735033.9
WORLD,900,2051,9782061.758
WORLD,900,2052,9827885.441
WORLD,900,2053,9872501.562
WORLD,900,2054,9915905.25100001
WORLD,900,2055,9958098.746
WORLD,900,2056,9999085.167
WORLD,900,2057,10038881.262
WORLD,900,2058,10077518.08
WORLD,900,2059,10115036.36
WORLD,900,2060,10151469.683
WORLD,900,2061,10186837.209
WORLD,900,2062,10221149.04
WORLD,900,2063,10254419.004
WORLD,900,2064,10286658.354
WORLD,900,2065,10317879.315
WORLD,900,2066,10348098.079
WORLD,900,2067,10377330.83
WORLD,900,2068,10405590.532
WORLD,900,2069,10432889.136
WORLD,900,2070,10459239.501
WORLD,900,2071,10484654.858
WORLD,900,2072,10509150.402
WORLD,900,2073,10532742.861
WORLD,900,2074,10555450.003
WORLD,900,2075,10577288.195
WORLD,900,2076,10598274.172
WORLD,900,2077,10618420.909
WORLD,900,2078,10637736.819
WORLD,900,2079,10656228.233
WORLD,900,2080,10673904.454
WORLD,900,2081,10690773.335
WORLD,900,2082,10706852.426
WORLD,900,2083,10722171.375
WORLD,900,2084,10736765.444
WORLD,900,2085,10750662.353
WORLD,900,2086,10763874.023
WORLD,900,2087,10776402.019
WORLD,900,2088,10788248.948
WORLD,900,2089,10799413.366
WORLD,900,2090,10809892.303
WORLD,900,2091,10819682.643
WORLD,900,2092,10828780.959
WORLD,900,2093,10837182.077
WORLD,900,2094,10844878.798
WORLD,900,2095,10851860.145
WORLD,900,2096,10858111.587
WORLD,900,2097,10863614.776
WORLD,900,2098,10868347.636
WORLD,900,2099,10872284.134
WORLD,900,2100,10875393.719
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
UN development groups,1803,2084,...
UN development groups,1803,2085,...
UN development groups,1803,2086,...
UN development groups,1803,2087,...
UN development groups,1803,2088,...
