Entity,Year,Gini (Chartbook of Economic Inequality (2016))
Argentina,1953,37.01
Argentina,1959,41.35
Argentina,1961,38.76
Argentina,1972,32.66
Argentina,1974,32.66
Argentina,1980,38.13
Argentina,1986,41.08
Argentina,1987,43.71
Argentina,1988,44.32
Argentina,1991,44.83
Argentina,1992,43
Argentina,1993,42.4
Argentina,1994,43.2
Argentina,1995,46.11
Argentina,1996,46.41
Argentina,1997,46.21
Argentina,1998,48.11
Argentina,1999,47.11
Argentina,2000,48.52
Argentina,2001,50.43
Argentina,2002,51.54
Argentina,2003,50.93
Argentina,2004,47.95
Argentina,2005,46.85
Argentina,2006,45.75
Argentina,2007,44.65
Argentina,2008,43.7
Argentina,2009,43.15
Argentina,2010,41.95
Argentina,2011,40.9
Argentina,2012,39.95
Argentina,2013,39.45
Argentina,2014,39.45
Australia,1981,27.01
Australia,1985,28.06
Australia,1989,29.22
Australia,1994,30.2
Australia,1995,29.6
Australia,1996,29.2
Australia,1997,30.3
Australia,1999,31
Australia,2000,31.1
Australia,2002,30.9
Australia,2003,30.6
Australia,2005,31.4
Australia,2007,32.6
Australia,2009,31.9
Australia,2011,31
Australia,2013,32.3
Brazil,1981,54.72
Brazil,1982,55.32
Brazil,1983,55.92
Brazil,1984,55.42
Brazil,1985,52.63
Brazil,1986,55.72
Brazil,1987,56.81
Brazil,1988,58.8
Brazil,1989,60.69
Brazil,1990,58.21
Brazil,1993,58.21
Brazil,1995,57.41
Brazil,1996,57.71
Brazil,1997,57.71
Brazil,1998,57.41
Brazil,1999,56.8
Brazil,2001,57
Brazil,2002,56.5
Brazil,2003,55.7
Brazil,2004,54.6
Brazil,2005,54.4
Brazil,2006,53.7
Brazil,2007,52.8
Brazil,2008,52
Brazil,2009,51.8
Brazil,2011,50.7
Brazil,2012,50.2
Brazil,2013,50.5
Brazil,2014,49.5
Canada,1976,30
Canada,1977,28.6
Canada,1978,29.1
Canada,1979,28.6
Canada,1980,28.6
Canada,1981,28.5
Canada,1982,28.8
Canada,1983,29.6
Canada,1984,29.3
Canada,1985,29
Canada,1986,29
Canada,1987,28.7
Canada,1988,28.2
Canada,1989,28.1
Canada,1990,28.6
Canada,1991,29.2
Canada,1992,29.1
Canada,1993,28.9
Canada,1994,29
Canada,1995,29.3
Canada,1996,30.1
Canada,1997,30.4
Canada,1998,31.1
Canada,1999,31
Canada,2000,31.7
Canada,2001,31.8
Canada,2002,31.8
Canada,2003,31.6
Canada,2004,32.2
Canada,2005,31.7
Canada,2006,31.8
Canada,2007,31.5
Canada,2008,31.8
Canada,2009,31.6
Canada,2010,31.5
Canada,2011,31.2
Canada,2012,31.8
Canada,2013,31.9
Finland,1966,31.1
Finland,1971,27
Finland,1976,21.5
Finland,1981,20.9
Finland,1987,20.2
Finland,1988,20.7
Finland,1989,21
Finland,1990,20.8
Finland,1991,20.7
Finland,1992,20.5
Finland,1993,20.9
Finland,1994,20.8
Finland,1995,21.4
Finland,1996,21.9
Finland,1997,23
Finland,1998,23.8
Finland,1999,24.5
Finland,2000,24.9
Finland,2001,25.7
Finland,2002,25.2
Finland,2003,25.6
Finland,2004,26.1
Finland,2005,25.9
Finland,2006,26.2
Finland,2007,26.4
Finland,2008,26
Finland,2009,25.5
Finland,2010,25.9
Finland,2011,25.9
Finland,2012,25.5
Finland,2013,25.6
Finland,2014,25.2
France,1956,39.89
France,1962,39.89
